onset	duration	trial_type_a	trial_type_b
0.5	3	Miss	MpH
4.0	3	NR	NRpX
7.5	3	FA	FpH
11.0	3	Hit	HpH
14.5	3	NR	NRpX
18.0	3	FA	FpH
21.5	3	Hit	HpH
25.0	3	CR	CpH
28.5	3	Miss	MpH
32.0	3	Hit	HpH
35.5	3	CR	CpF
39.0	3	CR	CpH
42.5	3	CR	CpF
46.0	3	FA	FpH
49.5	3	FA	FpF
53.0	3	Hit	HpH
56.5	3	Miss	MpF
60.0	3	Hit	HpH
63.5	3	FA	FpF
67.0	3	CR	CpF
70.5	3	Hit	HpF
74.0	3	Hit	HpH
77.5	3	NR	NRpX
81.0	3	FA	FpF
84.5	3	Hit	HpH
88.0	3	Hit	HpH
91.5	3	FA	FpF
95.0	3	Hit	HpH
98.5	3	CR	CpH
102.0	3	NR	NRpX
105.5	3	CR	CpF
109.0	3	FA	FpF
112.5	3	CR	CpH
116.0	3	Hit	HpF
119.5	3	FA	FpF
123.0	3	Hit	HpH
126.5	3	Hit	HpH
130.0	3	Hit	HpH
133.5	3	Hit	HpH
137.0	3	Hit	HpH
140.5	3	Hit	HpH
144.0	3	CR	CpH
147.5	3	CR	CpH
151.0	3	Hit	HpH
154.5	3	CR	CpH
158.0	3	FA	FpF
161.5	3	Hit	HpF
165.0	3	NR	NRpX
168.5	3	FA	FpF
172.0	3	CR	CpH
175.5	3	FA	FpH
179.0	3	FA	FpH
182.5	3	Miss	MpH
186.0	3	CR	CpH
189.5	3	NR	NRpX
193.0	3	CR	CpH
196.5	3	CR	CpF
200.0	3	Hit	HpH
203.5	3	FA	FpF
207.0	3	NR	NRpX
210.5	3	FA	FpH
214.0	3	Hit	HpH
217.5	3	Hit	HpH
221.0	3	Hit	HpH
224.5	3	Hit	HpH
228.0	3	Miss	MpH
231.5	3	NR	NRpX
235.0	3	Hit	HpF
238.5	3	Hit	HpF
242.0	3	FA	FpF
245.5	3	Hit	HpF
249.0	3	Hit	HpH
252.5	3	Hit	HpH
256.0	3	Hit	HpF
259.5	3	FA	FpH
263.0	3	Hit	HpH
266.5	3	Hit	HpH
270.0	3	Hit	HpH
273.5	3	CR	CpH
277.0	3	Hit	HpH
280.5	3	FA	FpF
284.0	3	FA	FpF
287.5	3	Hit	HpH
291.0	3	CR	CpF
294.5	3	FA	FpH
298.0	3	Hit	HpH
301.5	3	Miss	MpH
305.0	3	Hit	HpH
308.5	3	Hit	HpH
312.0	3	FA	FpH
315.5	3	CR	CpF
319.0	3	CR	CpF
322.5	3	Miss	MpF
326.0	3	Miss	MpH
329.5	3	Hit	HpH
333.0	3	FA	FpH
336.5	3	Hit	HpH
340.0	3	Miss	MpF
343.5	3	Miss	MpF
347.0	3	FA	FpH
350.5	3	FA	FpF
354.0	3	Hit	HpH
357.5	3	Hit	HpF
361.0	3	FA	FpH
364.5	3	FA	FpH
368.0	3	FA	FpH
371.5	3	FA	FpF
375.0	3	FA	FpH
